,precision,recall,f1-score,support
Benign,0.9736842105263158,0.961038961038961,0.9673202614379085,77.0
Malignant,0.9927007299270073,0.9951219512195122,0.9939098660170523,410.0
accuracy,0.9897330595482546,0.9897330595482546,0.9897330595482546,0.9897330595482546
macro avg,0.9831924702266616,0.9780804561292367,0.9806150637274804,487.0
weighted avg,0.9896940112537974,0.9897330595482546,0.9897057601595697,487.0
