,precision,recall,f1-score,support
Benign,0.926829268292683,0.987012987012987,0.9559748427672956,77.0
Malignant,0.9975308641975309,0.9853658536585366,0.9914110429447853,410.0
accuracy,0.9856262833675564,0.9856262833675564,0.9856262833675564,0.9856262833675564
macro avg,0.962180066245107,0.9861894203357617,0.9736929428560405,487.0
weighted avg,0.9863521724425549,0.9856262833675564,0.9858081940460857,487.0
